Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Status
a0-paper,"A0 Paper","<p>A0 Paper</p>",KlicknKart,Office Supplies,"Paper","Paper,stationery,office-supplies",true,Title,Default Title,a0-paper,shopify,100,deny,manual,0.00,true,true,active
a3-paper-ream-gold,"A3 Paper - Ream (Gold)","<p>A3 Paper - Ream (Gold)</p>",KlicknKart,Office Supplies,"Paper","Paper,stationery,office-supplies",true,Title,Default Title,a3-paper-ream-gold,shopify,100,deny,manual,0.00,true,true,active
a3-paper-paper-line,"A3 Paper - Paper Line","<p>A3 Paper - Paper Line</p>",KlicknKart,Office Supplies,"Paper","Paper,stationery,office-supplies",true,Title,Default Title,a3-paper-paper-line,shopify,100,deny,manual,0.00,true,true,active
a4-paper-ream-gold,"A4 Paper - Ream (Gold)","<p>A4 Paper - Ream (Gold)</p>",KlicknKart,Office Supplies,"Paper","Paper,stationery,office-supplies",true,Title,Default Title,a4-paper-ream-gold,shopify,100,deny,manual,0.00,true,true,active
a4-paper-paperline,"A4 Paper - Paperline","<p>A4 Paper - Paperline</p>",KlicknKart,Office Supplies,"Paper","Paper,stationery,office-supplies",true,Title,Default Title,a4-paper-paperline,shopify,100,deny,manual,0.00,true,true,active
a4-paper-color-ream-gold,"A4 Paper Color - Ream (Gold)","<p>A4 Paper Color - Ream (Gold)</p>",KlicknKart,Office Supplies,"Paper","Paper,stationery,office-supplies",true,Title,Default Title,a4-paper-color-ream-gold,shopify,100,deny,manual,0.00,true,true,active
pen-g-2-black,"Pen G-2 Black","<p>Pen G-2 Black</p>",KlicknKart,Office Supplies,"Pens & Pencils","Pens & Pencils,stationery,office-supplies",true,Title,Default Title,pen-g-2-black,shopify,100,deny,manual,0.00,true,true,active
pen-g-2-blue,"Pen G-2 Blue","<p>Pen G-2 Blue</p>",KlicknKart,Office Supplies,"Pens & Pencils","Pens & Pencils,stationery,office-supplies",true,Title,Default Title,pen-g-2-blue,shopify,100,deny,manual,0.00,true,true,active
pen-v-2-black,"Pen V-2 Black","<p>Pen V-2 Black</p>",KlicknKart,Office Supplies,"Pens & Pencils","Pens & Pencils,stationery,office-supplies",true,Title,Default Title,pen-v-2-black,shopify,100,deny,manual,0.00,true,true,active
pen-v-2-blue,"Pen V-2 Blue","<p>Pen V-2 Blue</p>",KlicknKart,Office Supplies,"Pens & Pencils","Pens & Pencils,stationery,office-supplies",true,Title,Default Title,pen-v-2-blue,shopify,100,deny,manual,0.00,true,true,active
